Product Code,Name,Sales Price,Cost,Product Categ 1,Product Categ 2,Product Categ 3,Product Categ 4,Barcode,Supplier
1000046,Irish Spring,4880,4001.6,categ_2,dept_2,line_2,div_2,9745567755626,s_046
1000047,Bioré,1000,820,categ_3,dept_3,line_3,div_3,9775491590812,s_047
1000048,Irish Spring,4580,3755.6,categ_4,dept_4,line_4,div_4,9223524803809,s_048
1000049,Rimmel,500,410,categ_1,dept_1,line_1,div_1,9490276068089,s_049
1000050,Olay,850,697,categ_2,dept_2,line_2,div_2,9908254705536,s_050
1000051,Marc Jacobs,3650,2993,categ_3,dept_3,line_3,div_3,9806993503481,s_051
1000052,Kérastase,2750,2255,categ_4,dept_4,line_4,div_4,9428113488990,s_052
1000053,Natura,1300,1066,categ_1,dept_1,line_1,div_1,9904507204112,s_053
1000054,Maybelline,2500,2050,categ_2,dept_2,line_2,div_2,9532298802930,s_054
1000055,NYX Cosmetics,1400,1148,categ_3,dept_3,line_3,div_3,9878728235118,s_055
1000056,Rexona,1400,1148,categ_4,dept_4,line_4,div_4,9849670089358,s_056
1000057,Avon,2850,2337,categ_1,dept_1,line_1,div_1,9261612560931,s_057
1000058,La Roche-Posay,2850,2337,categ_2,dept_2,line_2,div_2,9701229763393,s_058
1000059,ClarinsMen,1400,1148,categ_3,dept_3,line_3,div_3,9266277003650,s_059
1000060,NARS Cosmetics,1980,1623.6,categ_4,dept_4,line_4,div_4,9488798602810,s_060
1000061,Speed Stick,1000,820,categ_1,dept_1,line_1,div_1,9807884049959,s_061
1000062,Triumph & Disaster,1450,1189,categ_2,dept_2,line_2,div_2,9475741244917,s_062
1000063,Shiseido,2350,1927,categ_3,dept_3,line_3,div_3,9057116820152,s_063
1000064,Saint Laurente,1300,1066,categ_4,dept_4,line_4,div_4,9390027707390,s_064
1000065,Lancome,2500,2050,categ_1,dept_1,line_1,div_1,9737614636525,s_065
1000066,Nivea,1300,1066,categ_2,dept_2,line_2,div_2,9650022059164,s_066
1000067,Rimmel,2350,1927,categ_3,dept_3,line_3,div_3,9710544394368,s_067
1000068,Smashbox,2100,1722,categ_4,dept_4,line_4,div_4,9276867456803,s_068
1000069,Avon,3300,2706,categ_1,dept_1,line_1,div_1,9556556522838,s_069
1000070,Elizabeth Arden,7700,6314,categ_2,dept_2,line_2,div_2,9805005069208,s_070
1000071,M.A.C.,3250,2665,categ_3,dept_3,line_3,div_3,9903844671355,s_071
1000072,Redken,1400,1148,categ_4,dept_4,line_4,div_4,9028171597391,s_072
1000073,Estée Lauder,3000,2460,categ_1,dept_1,line_1,div_1,9525156806510,s_073
1000074,Christian Dior,3500,2870,categ_2,dept_2,line_2,div_2,9969233666557,s_074
1000075,Clinique,4000,3280,categ_3,dept_3,line_3,div_3,9678772228632,s_075
1000076,Dove,2500,2050,categ_4,dept_4,line_4,div_4,9488634105992,s_076
1000077,Oriflame,2500,2050,categ_1,dept_1,line_1,div_1,9569174841682,s_077
1000078,Eucerin,3000,2460,categ_2,dept_2,line_2,div_2,9851365372793,s_078
1000079,Revolution Makeup London,3500,2870,categ_3,dept_3,line_3,div_3,9001047086113,s_079
1000080,Sephora,4000,3280,categ_4,dept_4,line_4,div_4,9962693411342,s_080
1000081,Redken,4500,3690,categ_1,dept_1,line_1,div_1,9472042522976,s_081
1000082,Bioré,3000,2460,categ_2,dept_2,line_2,div_2,9917902576342,s_082
1000083,Bioré,2500,2050,categ_3,dept_3,line_3,div_3,9850449159948,s_083
1000084,Smashbox,3000,2460,categ_4,dept_4,line_4,div_4,9753813459899,s_084
1000085,LOreal,3500,2870,categ_1,dept_1,line_1,div_1,9996337006267,s_085
1000086,La Roche-Posay,3000,2460,categ_2,dept_2,line_2,div_2,9555560977299,s_086
1000087,Chanel,3500,2870,categ_3,dept_3,line_3,div_3,9870228550162,s_087
1000088,L:A Bruket,4000,3280,categ_4,dept_4,line_4,div_4,9280055770360,s_088
1000089,NARS Cosmetics,3500,2870,categ_1,dept_1,line_1,div_1,9820993082192,s_089
1000090,NARS Cosmetics,2500,2050,categ_2,dept_2,line_2,div_2,9179756481320,s_090
1000091,Saint Laurente,3000,2460,categ_3,dept_3,line_3,div_3,9421931077257,s_091
1000092,Revolution Makeup London,3500,2870,categ_4,dept_4,line_4,div_4,9622052424585,s_092
1000093,Christian Dior,3000,2460,categ_1,dept_1,line_1,div_1,9826390258546,s_093
1000094,Matrix,3000,2460,categ_2,dept_2,line_2,div_2,9429011250892,s_094
1000095,Kat Von D,3000,2460,categ_3,dept_3,line_3,div_3,9615372269668,s_095
1000096,KOSÉ,4500,3690,categ_4,dept_4,line_4,div_4,9840934345850,s_096
1000097,Shiseido,3000,2460,categ_1,dept_1,line_1,div_1,9311207183880,s_097
1000098,Estée Lauder,2500,2050,categ_2,dept_2,line_2,div_2,9519650700287,s_098
1000099,Vichy,3000,2460,categ_3,dept_3,line_3,div_3,9513374865080,s_099
1000100,Rimmel,3000,2460,categ_4,dept_4,line_4,div_4,9041465734953,s_100
1000101,Dove,3000,2460,categ_1,dept_1,line_1,div_1,9182944235975,s_101
1000102,Olay,3000,2460,categ_2,dept_2,line_2,div_2,9425982741692,s_102
1000103,LOccitane,3000,2460,categ_3,dept_3,line_3,div_3,9247018475105,s_103
1000104,Natura,6500,5330,categ_4,dept_4,line_4,div_4,9949579864332,s_104
1000105,Clean & Clear,3500,2870,categ_1,dept_1,line_1,div_1,9028272653619,s_105
1000106,Lancome,3500,2870,categ_2,dept_2,line_2,div_2,9798221341107,s_106
1000107,Rimmel,3500,2870,categ_3,dept_3,line_3,div_3,9219532096242,s_107
1000108,Sephora,3500,2870,categ_4,dept_4,line_4,div_4,9723707101546,s_108
1000109,ClarinsMen,2500,2050,categ_1,dept_1,line_1,div_1,9239876521605,s_109
1000110,Oriflame,2500,2050,categ_2,dept_2,line_2,div_2,9433736814104,s_110
1000111,Clinique,2500,2050,categ_3,dept_3,line_3,div_3,9925593744895,s_111
1000112,M.A.C.,3000,2460,categ_4,dept_4,line_4,div_4,9825731526299,s_112
1000113,La Roche-Posay,3000,2460,categ_1,dept_1,line_1,div_1,9053211452235,s_113
1000114,Rexona,2500,2050,categ_2,dept_2,line_2,div_2,9676785119668,s_114
1000115,Clean & Clear,3500,2870,categ_3,dept_3,line_3,div_3,9167683774486,s_115
1000116,Inglot,850,697,categ_4,dept_4,line_4,div_4,9040107462060,s_116
1000117,Eucerin,4500,3690,categ_1,dept_1,line_1,div_1,9429612342510,s_117
1000118,Triumph & Disaster,4000,3280,categ_2,dept_2,line_2,div_2,9337689438460,s_118
1000119,Smashbox,1950,1599,categ_3,dept_3,line_3,div_3,9612271514335,s_119
1000120,NARS Cosmetics,2000,1640,categ_4,dept_4,line_4,div_4,9148612841429,s_120
1000121,Sephora,6500,5330,categ_1,dept_1,line_1,div_1,9211439233874,s_121
1000122,Olay,4500,3690,categ_2,dept_2,line_2,div_2,9594516942265,s_122
1000123,Elizabeth Arden,1000,820,categ_3,dept_3,line_3,div_3,9695997426897,s_123
1000124,ClarinsMen,500,410,categ_4,dept_4,line_4,div_4,9343411341754,s_124
1000125,Lancome,500,410,categ_1,dept_1,line_1,div_1,9870459382099,s_125
1000126,Speed Stick,500,410,categ_2,dept_2,line_2,div_2,9868614407311,s_126
1000127,Estée Lauder,6000,4920,categ_3,dept_3,line_3,div_3,9865646069953,s_127
1000128,Coty,4400,3608,categ_4,dept_4,line_4,div_4,9192541184218,s_128
1000129,Redken,6000,4920,categ_1,dept_1,line_1,div_1,9472420598983,s_129
1000130,Speed Stick,3000,2460,categ_2,dept_2,line_2,div_2,9849936630958,s_130
1000131,Kérastase,2100,1722,categ_3,dept_3,line_3,div_3,9015587894422,s_131
1000132,Neutrogena,3200,2624,categ_4,dept_4,line_4,div_4,9859642539291,s_132
1000133,Estée Lauder,5000,4100,categ_1,dept_1,line_1,div_1,9188778869275,s_133
1000134,NARS Cosmetics,2550,2091,categ_2,dept_2,line_2,div_2,9688921389561,s_134
1000135,Oriflame,1950,1599,categ_3,dept_3,line_3,div_3,9772500455582,s_135
1000136,Rexona,2250,1845,categ_4,dept_4,line_4,div_4,9323682556661,s_136
1000137,Clinique,1150,943,categ_1,dept_1,line_1,div_1,9800801549755,s_137
1000138,NYX Cosmetics,5300,4346,categ_2,dept_2,line_2,div_2,9868735996286,s_138
1000139,Natura,3500,2870,categ_3,dept_3,line_3,div_3,9969562904311,s_139
1000140,LOccitane,2000,1640,categ_4,dept_4,line_4,div_4,9544630507284,s_140
1000141,Coty,2000,1640,categ_1,dept_1,line_1,div_1,9161774558208,s_141
1000142,Kat Von D,3500,2870,categ_2,dept_2,line_2,div_2,9425039685982,s_142
1000143,Rimmel,7500,6150,categ_3,dept_3,line_3,div_3,9250950001686,s_143
1000144,Maybelline,7000,5740,categ_4,dept_4,line_4,div_4,9877482392650,s_144
1000145,Matrix,7000,5740,categ_1,dept_1,line_1,div_1,9509800242114,s_145
1000146,Hourglass,7500,6150,categ_2,dept_2,line_2,div_2,9989977346310,s_146
1000147,Clarins,6000,4920,categ_3,dept_3,line_3,div_3,9252334824954,s_147
1000148,LOccitane,6000,4920,categ_4,dept_4,line_4,div_4,9549728606819,s_148
1000149,Clean & Clear,4000,3280,categ_1,dept_1,line_1,div_1,9856680515799,s_149
1000150,M.A.C.,6000,4920,categ_2,dept_2,line_2,div_2,9602939551790,s_150
1000151,L:A Bruket,580,475.6,categ_3,dept_3,line_3,div_3,9214242537538,s_151
1000152,Smashbox,1050,861,categ_4,dept_4,line_4,div_4,9686304091899,s_152
1000153,KOSÉ,2000,1640,categ_1,dept_1,line_1,div_1,9417637087314,s_153
1000154,LOccitane,1900,1558,categ_2,dept_2,line_2,div_2,9352695075978,s_154
1000155,Dove,1900,1558,categ_3,dept_3,line_3,div_3,9202479634763,s_155
1000156,Head & Shoulders,1500,1230,categ_4,dept_4,line_4,div_4,9191255612670,s_156
1000157,Vichy,1700,1394,categ_1,dept_1,line_1,div_1,9192129129437,s_157
1000158,Neutrogena,1700,1394,categ_2,dept_2,line_2,div_2,9693821599654,s_158
1000159,Triumph & Disaster,1700,1394,categ_3,dept_3,line_3,div_3,9333496662507,s_159
1000160,KOSÉ,1700,1394,categ_4,dept_4,line_4,div_4,9776806140400,s_160
1000161,ClarinsMen,2200,1804,categ_1,dept_1,line_1,div_1,9357785930512,s_161
1000162,Rexona,2800,2296,categ_2,dept_2,line_2,div_2,9714931060674,s_162
1000163,Irish Spring,3700,3034,categ_3,dept_3,line_3,div_3,9532424751449,s_163
1000164,Matrix,1500,1230,categ_4,dept_4,line_4,div_4,9568191402621,s_164
1000165,Christian Dior,1500,1230,categ_1,dept_1,line_1,div_1,9097480483112,s_165
1000166,Revlon,1150,943,categ_2,dept_2,line_2,div_2,9727006230761,s_166
1000167,Redken,2500,2050,categ_3,dept_3,line_3,div_3,9387659203107,s_167
1000168,Chanel,1000,820,categ_4,dept_4,line_4,div_4,9006589378561,s_168
1000169,Avon,550,451,categ_1,dept_1,line_1,div_1,9843827068837,s_169
1000170,Triumph & Disaster,400,328,categ_2,dept_2,line_2,div_2,9287235609718,s_170
1000171,Tom Ford,5800,4756,categ_3,dept_3,line_3,div_3,9608246477674,s_171
1000172,Biotherm,3280,2689.6,categ_4,dept_4,line_4,div_4,9222658468376,s_172
1000173,Shiseido,5000,4100,categ_1,dept_1,line_1,div_1,9695894507012,s_173
1000174,Chanel,4300,3526,categ_2,dept_2,line_2,div_2,9177053793578,s_174
1000175,Vichy,4000,3280,categ_3,dept_3,line_3,div_3,9438963120309,s_175
1000176,Schwarzkopf,3000,2460,categ_4,dept_4,line_4,div_4,9659645505015,s_176
1000177,KOSÉ,6000,4920,categ_1,dept_1,line_1,div_1,9939683694739,s_177
1000178,Rexona,6000,4920,categ_2,dept_2,line_2,div_2,9912664904844,s_178
1000179,Speed Stick,3500,2870,categ_3,dept_3,line_3,div_3,9142858731773,s_179
1000180,Marc Jacobs,3500,2870,categ_4,dept_4,line_4,div_4,9487720263438,s_180
1000181,Bobbi Brown,6000,4920,categ_1,dept_1,line_1,div_1,9186926892221,s_181
1000182,Elizabeth Arden,6000,4920,categ_2,dept_2,line_2,div_2,9082147067765,s_182
1000183,Irish Spring,6000,4920,categ_3,dept_3,line_3,div_3,9322167254530,s_183
1000184,Sunsilk,6000,4920,categ_4,dept_4,line_4,div_4,9270138041950,s_184
1000185,Clinique,6000,4920,categ_1,dept_1,line_1,div_1,9636022787913,s_185
1000186,Matrix,3500,2870,categ_2,dept_2,line_2,div_2,9175306180239,s_186
1000187,Rexona,6000,4920,categ_3,dept_3,line_3,div_3,9415874050501,s_187
1000188,Tom Ford,3000,2460,categ_4,dept_4,line_4,div_4,9417027705045,s_188
1000189,Tom Ford,3500,2870,categ_1,dept_1,line_1,div_1,9354430406609,s_189
1000190,Nivea,3000,2460,categ_2,dept_2,line_2,div_2,9600767182650,s_190
1000191,Saint Laurente,4700,3854,categ_3,dept_3,line_3,div_3,9185858986547,s_191
1000192,Triumph & Disaster,2000,1640,categ_4,dept_4,line_4,div_4,9194047215048,s_192
1000193,Nivea,4500,3690,categ_1,dept_1,line_1,div_1,9283601900031,s_193
1000194,Sunsilk,3700,3034,categ_2,dept_2,line_2,div_2,9269362232255,s_194
1000195,Eucerin,3500,2870,categ_3,dept_3,line_3,div_3,9383418271726,s_195
1000196,Inglot,4000,3280,categ_4,dept_4,line_4,div_4,9440845002011,s_196
1000197,Lancome,5500,4510,categ_1,dept_1,line_1,div_1,9875542402358,s_197
1000198,Garnier,4800,3936,categ_2,dept_2,line_2,div_2,9463694247349,s_198
1000199,Kérastase,4000,3280,categ_3,dept_3,line_3,div_3,9074101179397,s_199
1000200,Kat Von D,4800,3936,categ_4,dept_4,line_4,div_4,9698209608801,s_200
1000201,Kérastase,4900,4018,categ_1,dept_1,line_1,div_1,9884342997120,s_201
1000202,Aveda Men,3500,2870,categ_2,dept_2,line_2,div_2,9710825986404,s_202
1000203,Redken,4950,4059,categ_3,dept_3,line_3,div_3,9291179951081,s_203
1000204,Rexona,4500,3690,categ_4,dept_4,line_4,div_4,9142986311845,s_204
1000205,Inglot,4200,3444,categ_1,dept_1,line_1,div_1,9856540233189,s_205
1000206,Natura,4400,3608,categ_2,dept_2,line_2,div_2,9028363839203,s_206
1000207,Chanel,3900,3198,categ_3,dept_3,line_3,div_3,9786704516756,s_207
1000208,Speed Stick,3850,3157,categ_4,dept_4,line_4,div_4,9586284370649,s_208
1000209,Rimmel,2500,2050,categ_1,dept_1,line_1,div_1,9290914438758,s_209
1000210,Aveda Men,200,164,categ_2,dept_2,line_2,div_2,9223776821498,s_210
1000211,Lancome,500,410,categ_3,dept_3,line_3,div_3,9653976076956,s_211
1000212,Natura,1500,1230,categ_4,dept_4,line_4,div_4,9803193944484,s_212
1000213,Tom Ford,700,574,categ_1,dept_1,line_1,div_1,9271345304662,s_213
1000214,Rimmel,6500,5330,categ_2,dept_2,line_2,div_2,9892610933071,s_214
1000215,Coty,5000,4100,categ_3,dept_3,line_3,div_3,9506406744423,s_215
1000216,Estée Lauder,380,311.6,categ_4,dept_4,line_4,div_4,9631176727875,s_216
1000217,Kérastase,1000,820,categ_1,dept_1,line_1,div_1,9615602773010,s_217
1000218,Shiseido,2000,1640,categ_2,dept_2,line_2,div_2,9383329684018,s_218
1000219,Speed Stick,2380,1951.6,categ_3,dept_3,line_3,div_3,9715115011181,s_219
1000220,Clarins,7000,5740,categ_4,dept_4,line_4,div_4,9599490219517,s_220
1000221,Kérastase,2000,1640,categ_1,dept_1,line_1,div_1,9228457617175,s_221
1000222,Sephora,550,451,categ_2,dept_2,line_2,div_2,9274831978586,s_222
1000223,L:A Bruket,400,328,categ_3,dept_3,line_3,div_3,9931239759041,s_223
1000224,Oriflame,550,451,categ_4,dept_4,line_4,div_4,9333450419330,s_224
1000225,Redken,400,328,categ_1,dept_1,line_1,div_1,9399255076088,s_225
1000226,Christian Dior,500,410,categ_2,dept_2,line_2,div_2,9847268238091,s_226
1000227,Rexona,500,410,categ_3,dept_3,line_3,div_3,9748838137829,s_227
1000228,Olay,350,287,categ_4,dept_4,line_4,div_4,9615033180160,s_228
1000229,Marc Jacobs,550,451,categ_1,dept_1,line_1,div_1,9242101562310,s_229
1000230,Clinique,450,369,categ_2,dept_2,line_2,div_2,9617596998475,s_230
1000231,L:A Bruket,650,533,categ_3,dept_3,line_3,div_3,9900365924021,s_231
1000232,Inglot,350,287,categ_4,dept_4,line_4,div_4,9775259947472,s_232
1000233,Irish Spring,120,98.4,categ_1,dept_1,line_1,div_1,9341073523126,s_233
1000234,Clearasil,1600,1312,categ_2,dept_2,line_2,div_2,9258393404529,s_234
1000235,Bobbi Brown,1750,1435,categ_3,dept_3,line_3,div_3,9819121169841,s_235
1000236,Clinique,2800,2296,categ_4,dept_4,line_4,div_4,9044008352798,s_236
1000237,Nivea,1900,1558,categ_1,dept_1,line_1,div_1,9933364288224,s_237
1000238,Bioré,700,574,categ_2,dept_2,line_2,div_2,9121742362898,s_238
1000239,M.A.C.,3000,2460,categ_3,dept_3,line_3,div_3,9751665055989,s_239
1000240,Clearasil,1750,1435,categ_4,dept_4,line_4,div_4,9589334394371,s_240
1000241,Pantene,1750,1435,categ_1,dept_1,line_1,div_1,9640043135110,s_241
1000242,Elizabeth Arden,300,246,categ_2,dept_2,line_2,div_2,9149618467264,s_242
1000243,Smashbox,4650,3813,categ_3,dept_3,line_3,div_3,9858116946073,s_243
1000244,Matrix,480,393.6,categ_4,dept_4,line_4,div_4,9241087180047,s_244
1000245,Neutrogena,300,246,categ_1,dept_1,line_1,div_1,9837108340988,s_245
1000246,Clinique,850,697,categ_2,dept_2,line_2,div_2,9167976001146,s_246
1000247,Neutrogena,250,205,categ_3,dept_3,line_3,div_3,9899352917823,s_001
1000248,Eucerin,150,123,categ_4,dept_4,line_4,div_4,9312543461282,s_002
1000249,Triumph & Disaster,750,615,categ_1,dept_1,line_1,div_1,9248774172288,s_003
1000250,Clarins,200,164,categ_2,dept_2,line_2,div_2,9433841973957,s_004
1000251,M.A.C.,4000,3280,categ_3,dept_3,line_3,div_3,9177520199093,s_005
1000252,La Roche-Posay,390,319.8,categ_4,dept_4,line_4,div_4,9508983697751,s_006
1000253,Yves Saint Laurent,420,344.4,categ_1,dept_1,line_1,div_1,9240439055640,s_007
1000254,ClarinsMen,1450,1189,categ_2,dept_2,line_2,div_2,9833025891922,s_008
1000255,Rimmel,2950,2419,categ_3,dept_3,line_3,div_3,9369912818073,s_009
1000256,Hourglass,1000,820,categ_4,dept_4,line_4,div_4,9643577467999,s_010
1000257,La Roche-Posay,3200,2624,categ_1,dept_1,line_1,div_1,9590540290461,s_011
1000258,Colourpop Cosmetics,2180,1787.6,categ_2,dept_2,line_2,div_2,9310629840103,s_012
1000259,NYX Cosmetics,4000,3280,categ_3,dept_3,line_3,div_3,9776136148672,s_013
1000260,Olay,4000,3280,categ_4,dept_4,line_4,div_4,9768640568151,s_014
1000261,Avon,4500,3690,categ_1,dept_1,line_1,div_1,9228508709327,s_015
1000262,Aveda Men,530,434.6,categ_2,dept_2,line_2,div_2,9957363407283,s_016
1000263,Matrix,4150,3403,categ_3,dept_3,line_3,div_3,9284621503005,s_017
1000264,Irish Spring,2200,1804,categ_4,dept_4,line_4,div_4,9374272291954,s_018
1000265,La Roche-Posay,2300,1886,categ_1,dept_1,line_1,div_1,9540293744226,s_019
1000266,Eucerin,2350,1927,categ_2,dept_2,line_2,div_2,9671737548119,s_020
1000267,Rimmel,2250,1845,categ_3,dept_3,line_3,div_3,9056933974980,s_021
1000268,Revlon,2500,2050,categ_4,dept_4,line_4,div_4,9506575778878,s_022
1000269,Biotherm,1850,1517,categ_1,dept_1,line_1,div_1,9363438200892,s_023
1000270,Kérastase,2200,1804,categ_2,dept_2,line_2,div_2,9471532448309,s_024
1000271,Coty,700,574,categ_3,dept_3,line_3,div_3,9526950412064,s_025
1000272,KOSÉ,1400,1148,categ_4,dept_4,line_4,div_4,9014110618200,s_026
1000273,Biotherm,990,811.8,categ_1,dept_1,line_1,div_1,9720438850422,s_027
1000274,Kat Von D,3450,2829,categ_2,dept_2,line_2,div_2,9337504200914,s_028
1000275,Garnier,1080,885.6,categ_3,dept_3,line_3,div_3,9816866259047,s_029
1000276,Rexona,500,410,categ_4,dept_4,line_4,div_4,9643921216860,s_030
1000277,Elizabeth Arden,600,492,categ_1,dept_1,line_1,div_1,9672137591256,s_031
1000278,Pantene,3250,2665,categ_2,dept_2,line_2,div_2,9938115969947,s_032
1000279,Estée Lauder,4000,3280,categ_3,dept_3,line_3,div_3,9083123713973,s_033
1000280,Clean & Clear,7650,6273,categ_4,dept_4,line_4,div_4,9377430651616,s_034
1000281,Colourpop Cosmetics,350,287,categ_1,dept_1,line_1,div_1,9412145092696,s_035
1000282,L:A Bruket,7500,6150,categ_2,dept_2,line_2,div_2,9706149224580,s_036
1000283,Clinique,5500,4510,categ_3,dept_3,line_3,div_3,9622735898967,s_037
1000284,Sunsilk,6000,4920,categ_4,dept_4,line_4,div_4,9221684374641,s_038
1000285,Rexona,900,738,categ_1,dept_1,line_1,div_1,9868807036374,s_039
1000286,Natura,4600,3772,categ_2,dept_2,line_2,div_2,9516370900148,s_040
1000287,Vichy,600,492,categ_3,dept_3,line_3,div_3,9794114469934,s_041
1000288,Vichy,600,492,categ_4,dept_4,line_4,div_4,9652873684809,s_042
1000289,Pantene,700,574,categ_1,dept_1,line_1,div_1,9632980953806,s_043
1000290,Lancome,600,492,categ_2,dept_2,line_2,div_2,9648003263632,s_044
1000291,Estée Lauder,600,492,categ_3,dept_3,line_3,div_3,9936391656465,s_045
1000292,Marc Jacobs,550,451,categ_4,dept_4,line_4,div_4,9046764495062,s_046
1000293,Natura,3800,3116,categ_1,dept_1,line_1,div_1,9987898903223,s_047
1000294,Marc Jacobs,4200,3444,categ_2,dept_2,line_2,div_2,9806562611144,s_048
1000295,La Roche-Posay,3500,2870,categ_3,dept_3,line_3,div_3,9507359678041,s_049
1000296,Kérastase,4000,3280,categ_4,dept_4,line_4,div_4,9724601576201,s_050
1000297,Aveda Men,4300,3526,categ_1,dept_1,line_1,div_1,9181649849113,s_051
1000298,Sephora,5400,4428,categ_2,dept_2,line_2,div_2,9726704249702,s_052
1000299,Clearasil,4200,3444,categ_3,dept_3,line_3,div_3,9602533492124,s_053
1000300,KOSÉ,9000,7380,categ_4,dept_4,line_4,div_4,9693254359645,s_054
1000301,Tom Ford,9000,7380,categ_1,dept_1,line_1,div_1,9853322742158,s_055
1000302,Irish Spring,3180,2607.6,categ_2,dept_2,line_2,div_2,9281030566405,s_056
1000303,NYX Cosmetics,1700,1394,categ_3,dept_3,line_3,div_3,9866476297879,s_057
1000304,Eucerin,1100,902,categ_4,dept_4,line_4,div_4,9764815569031,s_058
1000305,M.A.C.,900,738,categ_1,dept_1,line_1,div_1,9700609344723,s_059
1000306,Triumph & Disaster,1500,1230,categ_2,dept_2,line_2,div_2,9079390283959,s_060
1000307,KOSÉ,2050,1681,categ_3,dept_3,line_3,div_3,9562409015262,s_061
1000308,Clarins,4000,3280,categ_4,dept_4,line_4,div_4,9503558899971,s_062
1000309,Shiseido,3400,2788,categ_1,dept_1,line_1,div_1,9059674062551,s_063
1000310,Coty,4800,3936,categ_2,dept_2,line_2,div_2,9259016144651,s_064
1000311,Biotherm,1000,820,categ_3,dept_3,line_3,div_3,9227258599652,s_065
1000312,Revlon,3000,2460,categ_4,dept_4,line_4,div_4,9367107706919,s_066
1000313,Bioré,500,410,categ_1,dept_1,line_1,div_1,9057354862399,s_067
1000314,Head & Shoulders,4000,3280,categ_2,dept_2,line_2,div_2,9537920142819,s_068
